epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,43896.3,0.51718,1.12087,0.8672,0.71734,0.64131,0.67637,0.60102,0.4709,1.02481,0.76564,8.614e-05,8.614e-05,8.614e-05
72,44003.9,0.53184,1.12841,0.85652,0.64425,0.66573,0.68563,0.61131,0.47187,0.98543,0.77026,8.5942e-05,8.5942e-05,8.5942e-05
73,44107.9,0.52749,1.18716,0.8652,0.62911,0.71117,0.68888,0.61417,0.49969,0.97877,0.77797,8.5744e-05,8.5744e-05,8.5744e-05
74,44214.1,0.5349,1.14269,0.88856,0.67046,0.64959,0.67808,0.60936,0.48731,0.99259,0.76981,8.5546e-05,8.5546e-05,8.5546e-05
75,44319.4,0.55485,1.27058,0.86882,0.61371,0.72837,0.67965,0.61527,0.47969,0.99603,0.76291,8.5348e-05,8.5348e-05,8.5348e-05
76,44421.7,0.52158,1.11355,0.85094,0.62134,0.74164,0.68796,0.62247,0.47405,0.92364,0.76598,8.515e-05,8.515e-05,8.515e-05
77,44538,0.55289,1.12229,0.86371,0.64508,0.75192,0.7023,0.62239,0.48162,0.91724,0.76759,8.4952e-05,8.4952e-05,8.4952e-05
78,44647.9,0.52117,1.12934,0.86443,0.60863,0.72692,0.68265,0.60809,0.47255,0.95789,0.75841,8.4754e-05,8.4754e-05,8.4754e-05
79,44755.6,0.52769,1.13176,0.86698,0.70315,0.71742,0.70447,0.62809,0.45758,0.90915,0.75607,8.4556e-05,8.4556e-05,8.4556e-05
80,44858.2,0.4946,1.06396,0.86123,0.64311,0.72282,0.70969,0.63618,0.46404,0.93074,0.75622,8.4358e-05,8.4358e-05,8.4358e-05
81,44961.3,0.52446,1.11751,0.86957,0.68623,0.71112,0.71997,0.6359,0.47076,0.93519,0.76043,8.416e-05,8.416e-05,8.416e-05
82,45064.7,0.51743,1.10659,0.85661,0.71405,0.67686,0.69403,0.62091,0.45655,0.95705,0.75336,8.3962e-05,8.3962e-05,8.3962e-05
83,45167.6,0.51029,1.09734,0.86146,0.64937,0.7379,0.69836,0.62463,0.45691,0.96916,0.75535,8.3764e-05,8.3764e-05,8.3764e-05
